tail_number,model_name,delivery_location ,army_command,unit_name ,current_location,contract_number,delivery_date,Remark ,active_status,warranty_period,formation
JF-2(144),JF-2,Agra,Central Command ,6 GR,Joshimath,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(145),JF-2,Agra,Central Command ,25 RAJPUT,Joshimath,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(146),JF-2,Agra,Central Command ,25 RAJPUT,Joshimath,GEMC-511687738325328 DT 10 JUN 2024,1/10/2024,,TRUE,24
JF-2(147),JF-2,Agra,Central Command ,GARH SCOUTS,Joshimath,GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(148),JF-2,Agra,Central Command ,GARH SCOUTS,Joshimath,GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(149),JF-2,Agra,Central Command ,,,GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(150),JF-2,Agra,Central Command ,,,GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(151),JF-2,Agra,Central Command ,,,GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(152),JF-2,Agra,Central Command ,5 Kumaon ,"BIRPUR CANTT, Dehradun",GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(153),JF-2,Agra,Central Command ,21 RAJRIF (116TH INF),DEHRADUN ,GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(154),JF-2,Agra,Central Command ,,,GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(155),JF-2,Agra,Central Command ,1/3 GR,DEHRADUN,GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(156),JF-2,Agra,Central Command ,1/3 GR,DEHRADUN,GEMC-511687738325328 DT 10 JUN 2024,29/10/2024,,TRUE,24
JF-2(201),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
